Year,URL,Type of League
1980,https://www.baseball-almanac.com/yearly/yr1980n.shtml,National League
1981,https://www.baseball-almanac.com/yearly/yr1981n.shtml,National League
1982,https://www.baseball-almanac.com/yearly/yr1982n.shtml,National League
1983,https://www.baseball-almanac.com/yearly/yr1983n.shtml,National League
1984,https://www.baseball-almanac.com/yearly/yr1984n.shtml,National League
1985,https://www.baseball-almanac.com/yearly/yr1985n.shtml,National League
1986,https://www.baseball-almanac.com/yearly/yr1986n.shtml,National League
1987,https://www.baseball-almanac.com/yearly/yr1987n.shtml,National League
1988,https://www.baseball-almanac.com/yearly/yr1988n.shtml,National League
1989,https://www.baseball-almanac.com/yearly/yr1989n.shtml,National League
1990,https://www.baseball-almanac.com/yearly/yr1990n.shtml,National League
1991,https://www.baseball-almanac.com/yearly/yr1991n.shtml,National League
1992,https://www.baseball-almanac.com/yearly/yr1992n.shtml,National League
1993,https://www.baseball-almanac.com/yearly/yr1993n.shtml,National League
1994,https://www.baseball-almanac.com/yearly/yr1994n.shtml,National League
1995,https://www.baseball-almanac.com/yearly/yr1995n.shtml,National League
1996,https://www.baseball-almanac.com/yearly/yr1996n.shtml,National League
1997,https://www.baseball-almanac.com/yearly/yr1997n.shtml,National League
1998,https://www.baseball-almanac.com/yearly/yr1998n.shtml,National League
1999,https://www.baseball-almanac.com/yearly/yr1999n.shtml,National League
2000,https://www.baseball-almanac.com/yearly/yr2000n.shtml,National League
2001,https://www.baseball-almanac.com/yearly/yr2001n.shtml,National League
2002,https://www.baseball-almanac.com/yearly/yr2002n.shtml,National League
2003,https://www.baseball-almanac.com/yearly/yr2003n.shtml,National League
2004,https://www.baseball-almanac.com/yearly/yr2004n.shtml,National League
2005,https://www.baseball-almanac.com/yearly/yr2005n.shtml,National League
2006,https://www.baseball-almanac.com/yearly/yr2006n.shtml,National League
2007,https://www.baseball-almanac.com/yearly/yr2007n.shtml,National League
2008,https://www.baseball-almanac.com/yearly/yr2008n.shtml,National League
2009,https://www.baseball-almanac.com/yearly/yr2009n.shtml,National League
2010,https://www.baseball-almanac.com/yearly/yr2010n.shtml,National League
2011,https://www.baseball-almanac.com/yearly/yr2011n.shtml,National League
2012,https://www.baseball-almanac.com/yearly/yr2012n.shtml,National League
2013,https://www.baseball-almanac.com/yearly/yr2013n.shtml,National League
2014,https://www.baseball-almanac.com/yearly/yr2014n.shtml,National League
2015,https://www.baseball-almanac.com/yearly/yr2015n.shtml,National League
2016,https://www.baseball-almanac.com/yearly/yr2016n.shtml,National League
2017,https://www.baseball-almanac.com/yearly/yr2017n.shtml,National League
2018,https://www.baseball-almanac.com/yearly/yr2018n.shtml,National League
2019,https://www.baseball-almanac.com/yearly/yr2019n.shtml,National League
2020,https://www.baseball-almanac.com/yearly/yr2020n.shtml,National League
2021,https://www.baseball-almanac.com/yearly/yr2021n.shtml,National League
2022,https://www.baseball-almanac.com/yearly/yr2022n.shtml,National League
2023,https://www.baseball-almanac.com/yearly/yr2023n.shtml,National League
2024,https://www.baseball-almanac.com/yearly/yr2024n.shtml,National League
2025,https://www.baseball-almanac.com/yearly/yr2025n.shtml,National League
