Year,Statistic,Player,Team,Value
2014,Strikeouts,David Price,Tampa Bay / Detroit,271.0
2014,Winning Percentage,Max Scherzer,Detroit,0.783
2014,Wins,Corey Kluber,Texas,18.0
2014,Wins,Max Scherzer,Detroit,18.0
2014,Wins,Jered Weaver,Los Angeles,18.0
2015,Complete Games,Mark Buehrle,Toronto,4.0
2015,Complete Games,Corey Kluber,Cleveland,4.0
2015,ERA,David Price,Detroit / Toronto,2.45
2015,Games,Kevin Jepsen,Tampa Bay / Minnesota,75.0
2015,Saves,Brad Boxberger,Tampa Bay,41.0
2015,Shutouts,Sonny Gray,Oakland,2.0
2015,Shutouts,Felix Hernandez,Seattle,2.0
2015,Shutouts,Dallas Keuchel,Houston,2.0
2015,Shutouts,Mike Montgomery,Seattle,2.0
2015,Shutouts,Jeff Samardzija,Chicago,2.0
2015,Strikeouts,Chris Sale,Chicago,274.0
2015,Winning Percentage,David Price,Detroit / Toronto,0.783
2015,Wins,Dallas Keuchel,Houston,20.0
2016,Complete Games,Chris Sale,Chicago,6.0
2016,ERA,Aaron Sanchez,Toronto,3.0
2016,Games,Bryan Shaw,Cleveland,75.0
2016,Saves,Zach Britton,Baltimore,47.0
2016,Shutouts,Corey Kluber,Cleveland,2.0
2016,Strikeouts,Justin Verlander,Detroit,254.0
2016,Winning Percentage,Aaron Sanchez,Toronto,0.882
2016,Wins,Rick Porcello,Boston,22.0
2017,Complete Games,Corey Kluber,Cleveland Indians,5.0
2017,Complete Games,Ervin Santana,Minnesota Twins,5.0
2017,ERA,Corey Kluber,Cleveland Indians,2.25
2017,Games,Bryan Shaw,Cleveland Indians,79.0
2017,Saves,Alex Colome,Tampa Bay Rays,46.0
2017,Shutouts,Corey Kluber,Cleveland Indians,3.0
2017,Shutouts,Ervin Santana,Minnesota Twins,3.0
2017,Strikeouts,Chris Sale,Boston Red Sox,308.0
2017,Winning Percentage,Corey Kluber,Cleveland Indians,0.818
2017,Wins,Carlos Carrasco,Cleveland Indians,18.0
